Name,Age,Gender,Region,Education,Profession,Political_Leaning,Civil_Bias,Criminal_Bias,Fairness_Score,Questionnaire,Prosecution_Bias,Defense_Bias,Neutral_Bias
Yadavi Sanghvi,26,Male,Bangalore,Postgraduate,Lawyer,4.5,0.25,0.75,0.88,Do you believe everyone deserves a fair trial? I strongly disagree and have opposite experiences. | Have you ever been involved in a legal dispute? Cultural traditions have shaped how I view responsibility. | How do you feel about strict punishments for crimes? My upbringing emphasized honesty and justice. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? I have experienced challenges that make me more empathetic. | How comfortable are you making decisions that affect others? I strongly disagree and have opposite experiences. | Have you had any training or work in law enforcement? My upbringing emphasized honesty and justice. | Do you think age or background influences judgment? I have experienced challenges that make me more empathetic. | What factors would you consider most important when deciding a case? My socio-economic background has made me sensitive to inequality. | Can you briefly describe your family background? I am neutral on this matter. | Have your early life experiences shaped your perspective on justice? I have experienced challenges that make me more empathetic. | Do you think your cultural background influences your judgment? I strongly disagree and have opposite experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly agree with this statement. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? I try to remain unbiased despite personal life experiences.,0.9,0.94,0.16
Upma Sastry,30,Female,Hyderabad,Postgraduate,Other,1.8,0.78,0.62,0.3,Do you believe everyone deserves a fair trial? I try to remain unbiased despite personal life experiences. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I strongly disagree and have opposite experiences. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? I strongly agree with this statement. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I come from a middle-class family and it taught me fairness. | Do you think your cultural background influences your judgment? I try to remain unbiased despite personal life experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I strongly agree with this statement. | Are there any life experiences that could impact your decisions as a juror? I am neutral on this matter.,0.8,0.26,0.29
Hritik Anne,60,Female,Delhi,Graduate,Student,6.4,0.42,0.61,0.12,Do you believe everyone deserves a fair trial? I am neutral on this matter. | Have you ever been involved in a legal dispute? I somewhat agree but with some reservations. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? Cultural traditions have shaped how I view responsibility. | Do you think your cultural background influences your judgment? Cultural traditions have shaped how I view responsibility. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I somewhat disagree with this viewpoint. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.55,0.67,0.38
Neelima Dube,51,Female,Mumbai,Graduate,Student,4.5,0.44,0.85,0.44,Do you believe everyone deserves a fair trial? I have experienced challenges that make me more empathetic. | Have you ever been involved in a legal dispute? I am neutral on this matter. | How do you feel about strict punishments for crimes? I have experienced challenges that make me more empathetic. | Do you think your personal experiences could affect your judgment? I strongly agree with this statement. | What is your opinion on civil lawsuits? My upbringing emphasized honesty and justice. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? I come from a middle-class family and it taught me fairness. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? My upbringing emphasized honesty and justice. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? I strongly disagree and have opposite experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly disagree and have opposite experiences. | Do you think socio-economic factors affect how you view cases? I strongly disagree and have opposite experiences. | Are there any life experiences that could impact your decisions as a juror? I somewhat agree but with some reservations.,0.79,0.84,0.78
Dakshesh Borra,29,Female,Mumbai,Graduate,Business,6.8,0.49,0.07,0.59,Do you believe everyone deserves a fair trial? I am neutral on this matter. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I somewhat agree but with some reservations. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? I come from a middle-class family and it taught me fairness. | How comfortable are you making decisions that affect others? I strongly agree with this statement. | Have you had any training or work in law enforcement? My upbringing emphasized honesty and justice. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? Cultural traditions have shaped how I view responsibility. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I am neutral on this matter.,0.59,0.81,0.78
Jonathan Gola,50,Male,Delhi,Postgraduate,Lawyer,1.1,0.67,0.47,0.71,Do you believe everyone deserves a fair trial? My upbringing emphasized honesty and justice. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I strongly disagree and have opposite experiences. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? I have experienced challenges that make me more empathetic. | Do you trust the legal system to be impartial? My socio-economic background has made me sensitive to inequality. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? My socio-economic background has made me sensitive to inequality. | Can you briefly describe your family background? Cultural traditions have shaped how I view responsibility. | Have your early life experiences shaped your perspective on justice? I have experienced challenges that make me more empathetic. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? Cultural traditions have shaped how I view responsibility. | Do you think socio-economic factors affect how you view cases? I am neutral on this matter. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.41,0.44,0.9
Daksha Kala,30,Female,Bangalore,Postgraduate,Business,9.6,0.9,0.55,0.06,Do you believe everyone deserves a fair trial? I somewhat disagree with this viewpoint. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? Cultural traditions have shaped how I view responsibility. | What is your opinion on civil lawsuits? I somewhat disagree with this viewpoint. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? I am neutral on this matter. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? I somewhat agree but with some reservations. | What factors would you consider most important when deciding a case? My socio-economic background has made me sensitive to inequality. | Can you briefly describe your family background? I have experienced challenges that make me more empathetic. | Have your early life experiences shaped your perspective on justice? I strongly disagree and have opposite experiences. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? I try to remain unbiased despite personal life experiences. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? My socio-economic background has made me sensitive to inequality.,0.29,0.66,0.59
Nachiket Luthra,35,Male,Other,Postgraduate,Other,9.9,0.27,0.45,0.98,Do you believe everyone deserves a fair trial? My upbringing emphasized honesty and justice. | Have you ever been involved in a legal dispute? I somewhat disagree with this viewpoint. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? I strongly disagree and have opposite experiences. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? I strongly disagree and have opposite experiences. | Have you had any training or work in law enforcement? I somewhat agree but with some reservations. | Do you think age or background influences judgment? I somewhat agree but with some reservations. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? I come from a middle-class family and it taught me fairness. | Do you think your cultural background influences your judgment? My upbringing emphasized honesty and justice. | Have any personal experiences made you more empathetic or critical in decision-making? I have experienced challenges that make me more empathetic. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? I strongly agree with this statement.,0.32,0.75,0.1
Charles Merchant,30,Male,Mumbai,Graduate,Teacher,3.9,0.96,0.87,0.66,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? I somewhat disagree with this viewpoint. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? I have experienced challenges that make me more empathetic. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? I try to remain unbiased despite personal life experiences. | Have you had any training or work in law enforcement? I somewhat agree but with some reservations. | Do you think age or background influences judgment? I come from a middle-class family and it taught me fairness. | What factors would you consider most important when deciding a case? I strongly agree with this statement. | Can you briefly describe your family background? I am neutral on this matter. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? I am neutral on this matter. | Do you think socio-economic factors affect how you view cases? I am neutral on this matter. | Are there any life experiences that could impact your decisions as a juror? I am neutral on this matter.,0.65,0.54,0.88
Neel Dyal,60,Male,Mumbai,Postgraduate,Business,1.8,0.43,0.74,0.79,Do you believe everyone deserves a fair trial? I am neutral on this matter. | Have you ever been involved in a legal dispute? Cultural traditions have shaped how I view responsibility. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? I have experienced challenges that make me more empathetic. | What factors would you consider most important when deciding a case? I strongly agree with this statement. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I strongly disagree and have opposite experiences. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? My socio-economic background has made me sensitive to inequality. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.91,0.06,0.13
Nikita Madan,45,Female,Delhi,Postgraduate,Other,6.0,0.68,0.86,0.55,Do you believe everyone deserves a fair trial? I strongly disagree and have opposite experiences. | Have you ever been involved in a legal dispute? I somewhat disagree with this viewpoint. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? I am neutral on this matter. | How comfortable are you making decisions that affect others? I am neutral on this matter. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? I have experienced challenges that make me more empathetic. | What factors would you consider most important when deciding a case? I strongly agree with this statement. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? I strongly agree with this statement. | Do you think your cultural background influences your judgment? My upbringing emphasized honesty and justice. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly agree with this statement. | Do you think socio-economic factors affect how you view cases? I come from a middle-class family and it taught me fairness. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.72,0.3,0.35
Mekhala Ramachandran,57,Male,Delhi,Postgraduate,Business,6.4,0.69,0.12,0.26,Do you believe everyone deserves a fair trial? I strongly agree with this statement. | Have you ever been involved in a legal dispute? My upbringing emphasized honesty and justice. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? I strongly disagree and have opposite experiences. | What is your opinion on civil lawsuits? My upbringing emphasized honesty and justice. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? My upbringing emphasized honesty and justice. | Have you had any training or work in law enforcement? I come from a middle-class family and it taught me fairness. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? My socio-economic background has made me sensitive to inequality. | Can you briefly describe your family background? I somewhat agree but with some reservations. | Have your early life experiences shaped your perspective on justice? I have experienced challenges that make me more empathetic. | Do you think your cultural background influences your judgment? My socio-economic background has made me sensitive to inequality. | Have any personal experiences made you more empathetic or critical in decision-making? I have experienced challenges that make me more empathetic. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.88,0.24,0.78
Hitesh Patil,32,Female,Delhi,Postgraduate,Other,2.5,0.42,0.55,0.27,Do you believe everyone deserves a fair trial? I somewhat disagree with this viewpoint. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? Cultural traditions have shaped how I view responsibility. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? My upbringing emphasized honesty and justice. | Do you think age or background influences judgment? I strongly agree with this statement. | What factors would you consider most important when deciding a case? I have experienced challenges that make me more empathetic. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I come from a middle-class family and it taught me fairness. | Do you think your cultural background influences your judgment? My socio-economic background has made me sensitive to inequality. | Have any personal experiences made you more empathetic or critical in decision-making? My socio-economic background has made me sensitive to inequality. | Do you think socio-economic factors affect how you view cases? I try to remain unbiased despite personal life experiences. | Are there any life experiences that could impact your decisions as a juror? I come from a middle-class family and it taught me fairness.,0.42,0.06,0.06
